Year,Month,Credit REC TX CRS Solar Back Half 2034,Credit REC TX CRS Solar Front Half 2031,Credit REC TX CRS Solar Back Half 2030,Credit REC TX CRS Solar Back Half 2029,Credit REC TX CRS Solar Front Half 2026,Credit REC TX CRS Solar Back Half 2033,Credit REC TX CRS Solar Back Half 2025,Credit REC TX CRS Solar Front Half 2034,Credit REC TX CRS Solar Front Half 2025,Credit REC TX CRS Solar Back Half 2032,Credit REC TX CRS Solar Front Half 2028,Credit REC TX CRS Solar Front Half 2033,Credit REC TX CRS Solar Front Half 2030,Credit REC TX CRS Solar Back Half 2027,Credit REC TX CRS Solar Front Half 2029,Credit REC TX CRS Solar Back Half 2031,Credit REC TX CRS Solar Back Half 2028,Credit REC TX CRS Solar Front Half 2032,Credit REC TX CRS Solar Back Half 2026,Credit REC TX CRS Solar Front Half 2027
2020,12,2.8705984,3.311259947,3.51589096,3.323097691,3.436992856,3.019764736,3.334270299,2.844009138,2.98679259,3.176682277,3.382181472,2.991793803,3.483324599,3.531995206,3.279286865,3.341753803,3.429943624,3.147257877,3.606750287,3.44478297
2021,1,2.882975744,3.32553732,3.531050655,3.337426107,3.451812361,3.032785251,3.348646888,2.856271836,2.999670937,3.190379384,3.396764643,3.004693714,3.498343875,3.547224338,3.293426378,3.356162659,3.444732733,3.160828113,3.622301745,3.459636064
2021,2,2.895406457,3.339876255,3.546275714,3.351816303,3.466695763,3.045861907,3.363085466,2.868587408,3.012604812,3.204135549,3.411410692,3.017649247,3.513427911,3.562519135,3.307626858,3.370633643,3.45958561,3.17445686,3.637920258,3.474553201
2021,3,2.906680261,3.352880684,3.560083798,3.364867223,3.480193988,3.057721537,3.376180264,2.879756787,3.024334949,3.216611446,3.424693654,3.029399025,3.527108095,3.576390466,3.320505718,3.383757832,3.47305615,3.186817198,3.652085177,3.488082019
2021,4,2.919213182,3.367337516,3.575434042,3.379375738,3.495199765,3.070905713,3.390737559,2.89217362,3.03737517,3.230480718,3.439460127,3.042461081,3.542316155,3.59181102,3.334822957,3.398347799,3.488031151,3.200558003,3.667832109,3.503121808
2021,5,2.931393266,3.381387347,3.590352132,3.393475797,3.509783087,3.083718716,3.404885024,2.904240884,3.050048271,3.24395953,3.453810882,3.055155402,3.557096065,3.606797441,3.348737125,3.412527017,3.502584562,3.213911966,3.683135719,3.517738184
2021,6,2.944032744,3.395967094,3.605832885,3.408107667,3.524916446,3.097014985,3.419566087,2.916763287,3.063199361,3.25794672,3.468702902,3.068328513,3.572433426,3.622349103,3.363176092,3.427241031,3.517686883,3.227769598,3.699016534,3.532905843
2021,7,2.956316384,3.410136379,3.620877811,3.422327607,3.539623757,3.109936927,3.433833836,2.928933149,3.075980211,3.27154013,3.483175668,3.081130763,3.587338996,3.637462941,3.37720856,3.441540802,3.53236403,3.241237098,3.714450258,3.547646489
2021,8,2.969063324,3.424840084,3.636490184,3.437083878,3.554885782,3.123346243,3.448639719,2.94156202,3.089243113,3.285646242,3.498194302,3.094415874,3.602806758,3.653146825,3.391770288,3.456379916,3.547594752,3.25521255,3.730466093,3.562943106
2021,9,2.981865227,3.439607189,3.652169874,3.451903775,3.570213613,3.136813377,3.463509442,2.954245343,3.102563203,3.299813175,3.513277693,3.107758267,3.618341213,3.668898334,3.406394804,3.471283013,3.562891146,3.26924826,3.746550985,3.578305678
2021,10,2.994306719,3.453958557,3.667408136,3.466306449,3.585109921,3.149901372,3.47796054,2.966571594,3.115508293,3.313581269,3.527936443,3.120725034,3.633438328,3.684206394,3.420607597,3.485766545,3.577756902,3.282888825,3.762183041,3.59323575
2021,11,3.007217465,3.468851214,3.683221137,3.481252347,3.600568071,3.163483006,3.492956687,2.979362753,3.128941632,3.327868651,3.543148074,3.134180866,3.649104859,3.700091825,3.435356452,3.50079635,3.593183348,3.297043869,3.778404689,3.608728937
2021,12,3.019764736,3.483324599,3.698588956,3.495777474,3.61559103,3.176682277,3.50753065,2.991793803,3.141996783,3.341753803,3.557931455,3.147257877,3.664330333,3.715530035,3.449690084,3.515403023,3.608175495,3.310800408,3.794169651,3.623785946
2022,1,3.032785251,3.498343875,3.714536401,3.510850444,3.631180608,3.190379384,3.522654297,3.004693714,3.155544334,3.356162659,3.573272418,3.160828113,3.680130063,3.731550526,3.464564336,3.530560614,3.623733099,3.3250758,3.810529218,3.639410858
2022,2,3.045861907,3.513427911,3.730552608,3.525988405,3.646837404,3.204135549,3.537843153,3.017649247,3.169150299,3.370633643,3.588679528,3.17445686,3.695997918,3.747640094,3.479502722,3.54578356,3.639357783,3.339412745,3.826959323,3.655103142
2022,3,3.057721537,3.527108095,3.745078208,3.539717497,3.661037044,3.216611446,3.551618403,3.029399025,3.181489975,3.383757832,3.602652719,3.186817198,3.710388973,3.762232227,3.493050813,3.559589728,3.653528299,3.352415369,3.841860301,3.669334965
2022,4,3.070905713,3.542316155,3.761226104,3.554979925,3.676822574,3.230480718,3.566932146,3.042461081,3.195207811,3.398347799,3.61818651,3.200558003,3.726387297,3.778454087,3.508112026,3.574937841,3.669281454,3.366870195,3.858425498,3.685156274
2022,5,3.083718716,3.557096065,3.77691939,3.569812673,3.692163696,3.24395953,3.581814763,3.055155402,3.20853945,3.412527017,3.633282979,3.213911966,3.741935222,3.794219255,3.522749223,3.589853861,3.684591111,3.380918077,3.874524338,3.700532168
2022,6,3.097014985,3.572433426,3.793204578,3.585204865,3.708083437,3.25794672,3.597258705,3.068328513,3.222373918,3.427241031,3.648948841,3.227769598,3.758069566,3.810579036,3.537938488,3.605332466,3.700478201,3.3954958,3.891230375,3.716487992
2022,7,3.109936927,3.587338996,3.809031291,3.600163723,3.723554992,3.27154013,3.612267856,3.081130763,3.235818905,3.441540802,3.664173663,3.241237098,3.773749682,3.826478242,3.552700133,3.620375304,3.715918024,3.409663118,3.907466089,3.731994613
2022,8,3.123346243,3.602806758,3.825454937,3.615686782,3.739610085,3.285646242,3.627843105,3.094415874,3.249770994,3.456379916,3.679972718,3.25521255,3.790021203,3.842977116,3.56801854,3.63598551,3.731940188,3.424364783,3.924314163,3.748086096
2022,9,3.136813377,3.618341213,3.841949399,3.631276772,3.755734403,3.299813175,3.643485511,3.107758267,3.263783242,3.471283013,3.695839894,3.26924826,3.806362882,3.859547129,3.583402996,3.651663024,3.748031436,3.439129838,3.941234883,3.764246961
2022,10,3.149901372,3.633438328,3.857979494,3.64642786,3.771404776,3.313581269,3.658687538,3.120725034,3.277401005,3.485766545,3.711260364,3.282888825,3.822244497,3.875650648,3.598354336,3.666899171,3.763669669,3.453479215,3.957679235,3.779952851
2022,11,3.163483006,3.649104859,3.874614194,3.662150399,3.787666186,3.327868651,3.674462938,3.134180866,3.291532387,3.50079635,3.727262445,3.297043869,3.838725115,3.892361542,3.613869593,3.682709977,3.779897727,3.468369804,3.974743817,3.796251119
2022,12,3.176682277,3.664330333,3.890780579,3.677430303,3.803469791,3.341753803,3.689794215,3.147257877,3.30526593,3.515403023,3.742814022,3.310800408,3.854741757,3.908601976,3.628948051,3.698075664,3.795668918,3.482841181,3.991327981,3.812090543
2023,1,3.190379384,3.680130063,3.907556709,3.693286517,3.819869457,3.356162659,3.705703739,3.160828113,3.319517459,3.530560614,3.758952155,3.3250758,3.871362497,3.925454948,3.644595221,3.714020896,3.812034949,3.497858373,4.008537648,3.82852738
2023,2,3.204135549,3.695997918,3.924405174,3.7092111,3.836339836,3.370633643,3.721681862,3.17445686,3.333830437,3.54578356,3.775159872,3.339412745,3.888054901,3.942380586,3.660309858,3.73003488,3.828471547,3.512940315,4.025821519,3.845035089
2023,3,3.216611446,3.710388973,3.939685575,3.723653602,3.851277338,3.383757832,3.736172922,3.186817198,3.346811325,3.559589728,3.789859159,3.352415369,3.903193766,3.957730977,3.674561955,3.744558464,3.843378413,3.526618601,4.041496804,3.860006448
2023,4,3.230480718,3.726387297,3.956672572,3.739709121,3.86788314,3.398347799,3.75228242,3.200558003,3.361241988,3.574937841,3.80620014,3.366870195,3.920023419,3.974795782,3.690405801,3.760704119,3.859950156,3.541824551,4.058922787,3.876649888
2023,5,3.24395953,3.741935222,3.973181337,3.75531263,3.88402144,3.412527017,3.76793839,3.213911966,3.375266386,3.589853861,3.822081075,3.380918077,3.936379268,3.991380163,3.705803598,3.776395227,3.876055357,3.556602409,4.075858179,3.892824767
