,5x16,2x16,7x8
2024-02-01,22.840000000000003,,28.080512425351564
2024-02-02,13.440000000000003,,28.080512425351564
2024-02-03,,18.057821229050283,28.080512425351564
2024-02-04,,9.627821229050284,28.080512425351564
2024-02-05,24.250000000000004,,28.080512425351564
2024-02-06,23.78,,28.080512425351564
2024-02-07,21.080000000000002,,28.080512425351564
2024-02-08,22.230000000000004,,28.080512425351564
2024-02-09,22.990000000000002,,28.080512425351564
2024-02-10,,23.277821229050282,28.080512425351564
2024-02-11,,20.577821229050283,28.080512425351564
2024-02-12,22.230000000000004,,28.080512425351564
2024-02-13,22.990000000000002,,28.080512425351564
2024-02-14,13.120000000000003,,28.080512425351564
2024-02-15,17.160000000000004,,28.080512425351564
2024-02-16,16.620000000000005,,28.080512425351564
2024-02-17,,14.707821229050284,28.080512425351564
2024-02-18,,19.997821229050285,28.080512425351564
2024-02-19,33.92,,28.080512425351564
2024-02-20,12.270000000000003,,28.080512425351564
2024-02-21,16.1,,28.080512425351564
2024-02-22,19.450000000000003,,28.080512425351564
2024-02-23,24.450000000000003,,28.080512425351564
2024-02-24,,20.447821229050284,28.080512425351564
2024-02-25,,20.447821229050284,28.080512425351564
2024-02-26,23.450000000000003,,28.080512425351564
2024-02-27,23.450000000000003,,28.080512425351564
2024-02-28,23.450000000000003,,28.080512425351564
2024-02-29,23.450000000000003,,28.080512425351564
2024-03-01,28.749999999999996,23.50857400722022,18.059263800990948
2024-04-01,32.05,27.163688524590164,17.91669945355191
2024-05-01,36.6,30.764475524475525,18.04578840514325
2024-06-01,54.595,45.316193133047214,20.122537911301873
2024-07-01,91.65,76.18700000000003,21.944967741935493
2024-08-01,144.20000000000002,112.37423435419444,22.923025213693556
2024-09-01,64.65,55.070474452554755,21.853017031630184
2024-10-01,38.20000000000001,32.1445178335535,22.48024886010142
2024-11-01,36.150000000000006,31.11518105849583,24.302991828384513
2024-12-01,41.949999999999996,36.31419392523365,29.48084262888153
2025-01-01,65.8,58.3067615658363,50.54736425209505
2025-02-01,65.20000000000002,57.1962670495334,49.750704543123774
2025-03-01,39.39,33.64668387096775,27.46696591354316
2025-04-01,35.239999999999995,30.331202346041056,24.890692082111443
2025-05-01,38.940000000000005,33.11156129032259,24.920605619146713
2025-06-01,54.584999999999994,45.683735979292486,28.553758412424504
2025-07-01,80.14,67.42749564206856,31.432744465895674
2025-08-01,110.84000000000003,90.69587030716725,31.742986898601764
2025-09-01,56.79,48.383585526315784,30.725848684210533
2025-10-01,37.94000000000001,33.2912252964427,28.828722427642475
2025-11-01,35.89000000000001,31.63525801952581,30.650599952545452
2025-12-01,41.24000000000001,36.425424528301896,34.87426962872791
2026-01-01,74.55,61.26945672773215,57.487769853076024
2026-02-01,73.25000000000001,60.40409413281755,57.06766049553282
2026-03-01,37.34000000000001,31.934209115281508,32.681189827528186
2026-04-01,31.84,28.1304854368932,28.191074433656958
2026-05-01,31.94,27.841283255086076,27.856508657680845
2026-06-01,40.184999999999995,34.085075318655846,30.53262649671688
2026-07-01,71.78999999999999,57.59682397959183,33.676800526662284
2026-08-01,96.09000000000002,74.83115044247788,33.04280616614329
2026-09-01,42.03999999999999,35.59691304347826,32.627852173913055
2026-10-01,36.39000000000001,32.11467213114755,31.312448439978834
2026-11-01,35.14,30.901514726507717,33.011649974102745
2026-12-01,40.690000000000005,35.98567342073898,37.476383175054764
