index,Realized,Forecast
6/1/2028,,46816.00604
7/1/2028,,47058.88922
8/1/2028,,47302.98586
9/1/2028,,47540.23585
10/1/2028,,47763.45516
11/1/2028,,47987.67076
12/1/2028,,48198.55591
1/1/2029,,48410.3137
2/1/2029,,48615.95905
3/1/2029,,48796.57067
4/1/2029,,48990.98392
5/1/2029,,49173.70325
6/1/2029,,49357.04731
7/1/2029,,49529.3173
8/1/2029,,49702.13171
9/1/2029,,49869.79707
10/1/2029,,50027.277
11/1/2029,,50185.19802
12/1/2029,,50333.49203
1/1/2030,,50482.16887
2/1/2030,,50626.33399
3/1/2030,,50752.77157
4/1/2030,,50888.686
5/1/2030,,51016.25119
6/1/2030,,51144.08389
7/1/2030,,51264.04224
8/1/2030,,51384.23124
9/1/2030,,51500.69771
10/1/2030,,51609.96267
11/1/2030,,51719.41128
12/1/2030,,51822.07667
1/1/2031,,51924.89948
2/1/2031,,52024.49952
3/1/2031,,52111.76926
4/1/2031,,52205.49413
5/1/2031,,52293.38069
6/1/2031,,52381.37336
7/1/2031,,52463.87479
8/1/2031,,52546.46616
9/1/2031,,52626.43407
10/1/2031,,52701.39894
11/1/2031,,52776.43332
12/1/2031,,52846.76611
1/1/2032,,52917.15715
2/1/2032,,52985.29473
3/1/2032,,53047.05745
4/1/2032,,53111.02792
5/1/2032,,53170.97639
6/1/2032,,53230.9613
7/1/2032,,53287.17023
8/1/2032,,53343.40889
9/1/2032,,53397.83118
10/1/2032,,53448.82188
11/1/2032,,53499.834
12/1/2032,,53547.62628
1/1/2033,,53595.43544
2/1/2033,,53641.69249
3/1/2033,,53682.17974
4/1/2033,,53725.61685
5/1/2033,,53766.30607
6/1/2033,,53807.00369
7/1/2033,,53845.12463
8/1/2033,,53883.25143
9/1/2033,,53920.13321
10/1/2033,,53954.67729
11/1/2033,,53989.22414
12/1/2033,,54021.5798
1/1/2034,,54053.9366
2/1/2034,,54085.23317
3/1/2034,,54112.61814
4/1/2034,,54141.99017
5/1/2034,,54169.49642
6/1/2034,,54197.00094
7/1/2034,,54222.75736
8/1/2034,,54248.51125
9/1/2034,,54273.41798
10/1/2034,,54296.74053
11/1/2034,,54320.05964
12/1/2034,,54341.89487
1/1/2035,,54363.72622
2/1/2035,,54384.8378
3/1/2035,,54403.30718
4/1/2035,,54423.11301
5/1/2035,,54441.65726
6/1/2035,,54460.19699
7/1/2035,,54477.55535
8/1/2035,,54494.90907
9/1/2035,,54511.68917
10/1/2035,,54527.39948
11/1/2035,,54543.10508
12/1/2035,,54557.8091
1/1/2036,,54572.5084
2/1/2036,,54586.72107
3/1/2036,,54599.59041
4/1/2036,,54612.90615
5/1/2036,,54625.37215
6/1/2036,,54637.83359
7/1/2036,,54649.49961
8/1/2036,,54661.16118
9/1/2036,,54672.43602
10/1/2036,,54682.99093
11/1/2036,,54693.54158
12/1/2036,,54703.41842
1/1/2037,,54713.29114
2/1/2037,,54722.83611
3/1/2037,,54731.18468
4/1/2037,,54740.13548
5/1/2037,,54748.51438
6/1/2037,,54756.88954
7/1/2037,,54764.72949
8/1/2037,,54772.56585
9/1/2037,,54780.14177
10/1/2037,,54787.23344
11/1/2037,,54794.32177
12/1/2037,,54800.95696
1/1/2038,,54807.58895
2/1/2038,,54814.00038
3/1/2038,,54819.60785
4/1/2038,,54825.61948
5/1/2038,,54831.24668
6/1/2038,,54836.87107
7/1/2038,,54842.13576
8/1/2038,,54847.39776
9/1/2038,,54852.48463
10/1/2038,,54857.24613
11/1/2038,,54862.00516
12/1/2038,,54866.45976
1/1/2039,,54870.91202
2/1/2039,,54875.21602
3/1/2039,,54878.98018
4/1/2039,,54883.01549
5/1/2039,,54886.79261
6/1/2039,,54890.5677
7/1/2039,,54894.10124
8/1/2039,,54897.63286
9/1/2039,,54901.04682
10/1/2039,,54904.2423
11/1/2039,,54907.43604
12/1/2039,,54910.42538
1/1/2040,,54913.41307
2/1/2040,,54916.30119
3/1/2040,,54918.91577
4/1/2040,,54921.62049
5/1/2040,,54924.15209
6/1/2040,,54926.68226
7/1/2040,,54929.05049
8/1/2040,,54931.41737
9/1/2040,,54933.70535
10/1/2040,,54935.84686
11/1/2040,,54937.98715
12/1/2040,,54939.99043
1/1/2041,,54941.99257
2/1/2041,,54943.92794
3/1/2041,,54945.62049
4/1/2041,,54947.43488
5/1/2041,,54949.13311
6/1/2041,,54950.83036
7/1/2041,,54952.41894
8/1/2041,,54954.00661
9/1/2041,,54955.54132
10/1/2041,,54956.97776
11/1/2041,,54958.41337
12/1/2041,,54959.75706
1/1/2042,,54961.09996
2/1/2042,,54962.39806
3/1/2042,,54963.53329
4/1/2042,,54964.75022
5/1/2042,,54965.88923
6/1/2042,,54967.02757
7/1/2042,,54968.09301
8/1/2042,,54969.15783
