,value
2017-01-01,1.495398495641231
2017-02-01,1.5018463020780486
2017-03-01,1.5076940198441586
2017-04-01,1.5141948416881275
2017-05-01,1.5205126466725454
2017-06-01,1.527068739419097
2017-07-01,1.5334402592709908
2017-08-01,1.5400520928411205
2017-09-01,1.5466924350818003
2017-10-01,1.5531458325618943
2017-11-01,1.559842631927213
2017-12-01,1.5663508971012712
2018-01-01,1.5731046335976517
2018-02-01,1.5798874906166092
2018-03-01,1.58603907625793
2018-04-01,1.592877703550085
2018-05-01,1.5995238037863249
2018-06-01,1.6064205740505442
2018-07-01,1.6131231803667125
2018-08-01,1.6200785879427297
2018-09-01,1.6270639855995652
2018-10-01,1.6338527241919696
2018-11-01,1.640897512683173
2018-12-01,1.6477439700868926
2019-01-01,1.6548486543617
2019-02-01,1.6619839723633252
2019-03-01,1.66845521591783
2019-04-01,1.6756492022111786
2019-05-01,1.6826406570691699
2019-06-01,1.689895807646842
2019-07-01,1.6969467048383786
2019-08-01,1.7042635397277315
2019-09-01,1.711611923087431
2019-10-01,1.7187534282896382
2019-11-01,1.7261642886392574
2019-12-01,1.7333665119241626
2020-01-01,1.7408403804518664
2020-02-01,1.7483464745420148
2020-03-01,1.7553976016014596
2020-04-01,1.762966463003802
2020-05-01,1.7703222391566982
2020-06-01,1.7779554520843206
2020-07-01,1.7853737680817043
2020-08-01,1.793071879660335
2020-09-01,1.80080318368468
2020-10-01,1.808316829231877
2020-11-01,1.8161138658915448
2020-12-01,1.823691393511047
2021-01-01,1.8315547216741583
2021-02-01,1.8394519546580197
2021-03-01,1.846614202792383
2021-04-01,1.8545763687152386
2021-05-01,1.862314376733539
2021-06-01,1.8703442381120823
2021-07-01,1.8781480357640064
2021-08-01,1.886246168154532
2021-09-01,1.8943792177863856
2021-10-01,1.902283298645072
2021-11-01,1.910485496609966
2021-12-01,1.918456779076946
2022-01-01,1.9267287132837438
2022-02-01,1.935036314124405
2022-03-01,1.942570737731213
2022-04-01,1.9509466456535658
2022-05-01,1.9590867476423577
2022-06-01,1.9675338687131299
2022-07-01,1.9757431789950939
2022-08-01,1.9842621186784992
2022-09-01,1.9928177900252613
2022-10-01,2.0011325945802825
2022-11-01,2.009761007449407
2022-12-01,2.0181465056434154
2023-01-01,2.026848278493567
2023-02-01,2.035587571340668
2023-03-01,2.043513509959641
2023-04-01,2.0523246593633933
2023-05-01,2.060887749532235
2023-06-01,2.06977381256876
2023-07-01,2.0784097073358336
2023-08-01,2.0873713209313842
2023-09-01,2.096371574896036
2023-10-01,2.1051184457877006
2023-11-01,2.114195221178726
2023-12-01,2.1230164591982037
2024-01-01,2.1321704066115434
2024-02-01,2.14136382369215
2024-03-01,2.15
2024-04-01,2.1592702940918858
2024-05-01,2.168279602703392
2024-06-01,2.177628714140833
2024-07-01,2.1867146211625954
2024-08-01,2.19614322006176
2024-09-01,2.2056124728607704
2024-10-01,2.214815138918726
2024-11-01,2.2243649006382316
2024-12-01,2.2336458090586757
2025-01-01,2.2432767641968536
2025-02-01,2.2529492457473643
2025-03-01,2.2617215224525586
2025-04-01,2.271473533460504
2025-05-01,2.28095099726937
2025-06-01,2.2907859212479127
2025-07-01,2.3003439637884355
2025-08-01,2.3102625056753245
2025-09-01,2.3202238139809372
2025-10-01,2.3299046827656915
2025-11-01,2.3399506835169936
2025-12-01,2.349713860411147
2026-01-01,2.3598452736752358
2026-02-01,2.3700203712093364
2026-03-01,2.379248486104707
2026-04-01,2.3895072457251096
2026-05-01,2.3994771917133777
2026-06-01,2.4098231727524264
2026-07-01,2.419877884625178
2026-08-01,2.4303118286516554
2026-09-01,2.4407907613896036
2026-10-01,2.450974681987984
2026-11-01,2.4615427080874235
2026-12-01,2.4718132138125486
2027-01-01,2.4824710907577816
2027-02-01,2.493174921960539
2027-03-01,2.5028825619933417
2027-04-01,2.5136744026571227
2027-05-01,2.52416242192194
2027-06-01,2.5350460163344524
2027-07-01,2.545623206215691
2027-08-01,2.5565993344802256
2027-09-01,2.567622789227086
2027-10-01,2.5783359019714136
2027-11-01,2.5894530796825492
2027-12-01,2.600257276819753
2028-01-01,2.6114689743410016
2028-02-01,2.6227290140637813
2028-03-01,2.6333065487744003
2028-04-01,2.644660746979622
2028-05-01,2.6556952918013015
2028-06-01,2.6671460249982473
2028-07-01,2.678274387073579
2028-08-01,2.6898224760163405
2028-09-01,2.701420357601287
2028-10-01,2.712691725413658
2028-11-01,2.724388213820732
2028-12-01,2.7357554123891656
2029-01-01,2.7475513459874517
2029-02-01,2.7593981408757586
2029-03-01,2.7701423705015493
2029-04-01,2.782086572571755
2029-05-01,2.7936945109502003
2029-06-01,2.805740264308059
2029-07-01,2.817446895012907
2029-08-01,2.829595063061762
2029-09-01,2.8417956111527065
