,value
2017-01-01,2.957478974774121
2017-02-01,2.970230928200505
2017-03-01,2.981796074476961
2017-04-01,2.9946528775153025
2017-05-01,3.0071477245160185
2017-06-01,3.020113837903929
2017-07-01,3.032714917853024
2017-08-01,3.045791270962488
2017-09-01,3.0589240062296135
2017-10-01,3.0716870171720942
2017-11-01,3.0849314088034485
2017-12-01,3.097802932661896
2018-01-01,3.1111599299756083
2018-02-01,3.1245745195187546
2018-03-01,3.1367406312600448
2018-04-01,3.150265518767835
2018-05-01,3.163409641735868
2018-06-01,3.1770495197414492
2018-07-01,3.1903053958935486
2018-08-01,3.204061242062322
2018-09-01,3.2178764002029414
2018-10-01,3.2313026218494088
2018-11-01,3.245235238409606
2018-12-01,3.2587756116828213
2019-01-01,3.272826685310618
2019-02-01,3.2869383438615953
2019-03-01,3.299736649335939
2019-04-01,3.3139643373197143
2019-05-01,3.3277914749060242
2019-06-01,3.3421401286961863
2019-07-01,3.3560848265530083
2019-08-01,3.370555474617875
2019-09-01,3.3850885167121647
2019-10-01,3.3992124118112512
2019-11-01,3.413869015875566
2019-12-01,3.42811299431932
2020-01-01,3.4428942108949263
2020-02-01,3.457739160598298
2020-03-01,3.471684313069397
2020-04-01,3.486653398918857
2020-05-01,3.501201061885447
2020-06-01,3.5162974170103305
2020-07-01,3.530968766255661
2020-08-01,3.546193472717267
2020-09-01,3.5614838245306695
2020-10-01,3.5763437088989574
2020-11-01,3.59176406143624
2020-12-01,3.6067502866335843
2021-01-01,3.6223017451792057
2021-02-01,3.6379202579547236
2021-03-01,3.6520851767581313
2021-04-01,3.667832108682394
2021-05-01,3.683135719116311
2021-06-01,3.69901653367284
2021-07-01,3.714450257557296
2021-08-01,3.730466093035081
2021-09-01,3.746550985026822
2021-10-01,3.7621830409788743
2021-11-01,3.778404688986958
2021-12-01,3.7941696508795877
2022-01-01,3.810529217622918
2022-02-01,3.826959322968541
2022-03-01,3.841860300513406
2022-04-01,3.8584254981160573
2022-05-01,3.874524337692625
2022-06-01,3.891230374937545
2022-07-01,3.907466089114785
2022-08-01,3.9243141634404424
2022-09-01,3.9412348826981374
2022-10-01,3.957679234971134
2022-11-01,3.9747438165662645
2022-12-01,3.9913279810375233
2023-01-01,4.008537648107937
2023-02-01,4.025821519213219
2023-03-01,4.041496803687082
2023-04-01,4.058922786915731
2023-05-01,4.075858178523561
2023-06-01,4.093432319915063
2023-07-01,4.1105116986067145
2023-08-01,4.128235257822632
2023-09-01,4.146035236855425
2023-10-01,4.163334095208276
2023-11-01,4.181285412168905
2023-12-01,4.198731347851017
2024-01-01,4.216835289435853
2024-02-01,4.235017290956835
2024-03-01,4.252097226457209
2024-04-01,4.270431269153279
2024-05-01,4.288249155738992
2024-06-01,4.3067390770473555
2024-07-01,4.32470845381344
2024-08-01,4.343355579036006
2024-09-01,4.362083106274748
2024-10-01,4.380283399679885
2024-11-01,4.3991701509919015
2024-12-01,4.417525185854029
2025-01-01,4.43657251498481
2025-02-01,4.4557019717168505
2025-03-01,4.473051075646093
2025-04-01,4.492337819348077
2025-05-01,4.511081585662275
2025-06-01,4.530532307974638
2025-07-01,4.549435436429017
2025-08-01,4.569051531520991
2025-09-01,4.588752206599215
2025-10-01,4.607898250929144
2025-11-01,4.627766423920586
2025-12-01,4.647075250615023
2026-01-01,4.667112345610523
2026-02-01,4.687235835844793
2026-03-01,4.705486459915506
2026-04-01,4.725775410300996
2026-05-01,4.745493168293853
2026-06-01,4.765954618192048
2026-07-01,4.785840019339468
2026-08-01,4.8064754353655115
2026-09-01,4.82719982644982
2026-10-01,4.847340766231603
2026-11-01,4.868241359006744
2026-12-01,4.88855353989424
2027-01-01,4.909631832451797
2027-02-01,4.930801009647012
2027-03-01,4.95
2027-04-01,4.971343235234806
2027-05-01,4.992085596921763
2027-06-01,5.013610295347498
2027-07-01,5.034529011513882
2027-08-01,5.056236715956145
2027-09-01,5.078038018912007
2027-10-01,5.099225552394276
2027-11-01,5.121212213097324
2027-12-01,5.1425798859723
2028-01-01,5.164753480360197
2028-02-01,5.187022682069514
2028-03-01,5.207942080211736
2028-04-01,5.230397501001071
2028-05-01,5.252220737015713
2028-06-01,5.274867076954148
2028-07-01,5.296875857193928
2028-08-01,5.31971473950295
2028-09-01,5.34265209769836
2028-10-01,5.364943703192946
2028-11-01,5.388076078037137
2028-12-01,5.410557209900125
2029-01-01,5.4338862594521
2029-02-01,5.457315898376275
2029-03-01,5.478564972326156
2029-04-01,5.502187255347071
2029-05-01,5.525144503060501
2029-06-01,5.548967626057494
2029-07-01,5.572120059523188
2029-08-01,5.596145730066013
2029-09-01,5.6202749936468335
2029-10-01,5.643724948957126
2029-11-01,5.668059362934124
2029-12-01,5.691708693066037
2030-01-01,5.716250001656764
2030-02-01,5.740897126595415
2030-03-01,5.763250376774313
2030-04-01,5.788100156270995
2030-05-01,5.812250342898783
2030-06-01,5.837311398719404
2030-07-01,5.861666913634059
2030-08-01,5.886941042079669
2030-09-01,5.912324146619982
2030-10-01,5.936992643655255
2030-11-01,5.962591558924114
2030-12-01,5.987469790994316
2031-01-01,6.013286351844921
2031-02-01,6.039214227631117
2031-03-01,6.062729030899202
2031-04-01,6.088870091883317
2031-05-01,6.114275206705322
2031-06-01,6.1406385226703835
2031-07-01,6.166259635355449
2031-08-01,6.1928470959445985
2031-09-01,6.219549195407614
2031-10-01,6.245499553859351
2031-11-01,6.272428678331452
2031-12-01,6.298599670384358
2032-01-01,6.325757750064133
2032-02-01,6.353032928993025
2032-03-01,6.378654876957832
2032-04-01,6.406158135850873
2032-05-01,6.43288709878706
2032-06-01,6.460624194259458
2032-07-01,6.487580410601761
2032-08-01,6.515553330765034
2032-09-01,6.54364686357785
2032-10-01,6.570949482522776
2032-11-01,6.59928187050692
2032-12-01,6.626816620162114
2033-01-01,6.655389894097881
2033-02-01,6.684086369267393
2033-03-01,6.71011210209884
2033-04-01,6.7390445265527825
2033-05-01,6.767162419922837
2033-06-01,6.796340831922948
2033-07-01,6.824697787581216
2033-08-01,6.854124278548248
2033-09-01,6.883677649620096
2033-10-01,6.912399008172218
2033-11-01,6.942203646165806
2033-12-01,6.971169197752084
2034-01-01,7.001227238974156
2034-02-01,7.031414883397138
2034-03-01,7.058793004365735
2034-04-01,7.0892288588235095
2034-05-01,7.1188078563123804
2034-06-01,7.149502480689888
2034-07-01,7.179332962979905
2034-08-01,7.210288557375437
2034-09-01,7.24137762500996
2034-10-01,7.271591445843176
2034-11-01,7.30294483710783
2034-12-01,7.3334155400996375
2035-01-01,7.365035502311138
2035-02-01,7.396791802359327
2035-03-01,7.425592586284439
2035-04-01,7.457609994229267
2035-05-01,7.488726019919104
2035-06-01,7.521015644374085
2035-07-01,7.552396222895233
2035-08-01,7.584960378283458
2035-09-01,7.617664942647173
2035-10-01,7.649448779323454
2035-11-01,7.68243140249794
2035-12-01,7.714485469828563
2036-01-01,7.747748515908977
2036-02-01,7.781154984417091
2036-03-01,7.81253658598364
2036-04-01,7.846222405404889
2036-05-01,7.878959871982476
2036-06-01,7.912932092983147
2036-07-01,7.9459478981107585
2036-08-01,7.980208955717404
2036-09-01,8.014617738942611
2036-10-01,8.04805781581069
2036-11-01,8.082759147355372
2036-12-01,8.116483536465086
2037-01-01,8.151479903616238
2037-02-01,8.186627166867689
2037-03-01,8.218503321612666
2037-04-01,8.253939574071499
2037-05-01,8.288378193954802
2037-06-01,8.32411573042119
2037-07-01,8.35884715229943
2037-08-01,8.394888534332424
2037-09-01,8.431085318323987
2037-10-01,8.466263058586776
2037-11-01,8.502767592732065
2037-12-01,8.538244419095323
2038-01-01,8.57505931992947
2038-02-01,8.612032957953241
2038-03-01,8.64556550922754
2038-04-01,8.68284315334903
2038-05-01,8.719071324415834
2038-06-01,8.75666590831605
2038-07-01,8.793202096393909
2038-08-01,8.83111631473947
2038-09-01,8.869194010273091
2038-10-01,8.906199709000346
2038-11-01,8.944601146462439
2038-12-01,8.981921472850388
2039-01-01,9.020649404740409
2039-02-01,9.059544322359821
2039-03-01,9.094819342322534
2039-04-01,9.134034063260161
2039-05-01,9.172144776851269
2039-06-01,9.211692906867441
2039-07-01,9.250127643111192
2039-08-01,9.29001201689683
2039-09-01,9.330068362717194
2039-10-01,9.368997007026417
2039-11-01,9.409393917538571
2039-12-01,9.448653538662562
2040-01-01,9.489393909395464
2040-02-01,9.530309943020507
2040-03-01,9.56874593228387
2040-04-01,9.610004113159594
2040-05-01,9.650100757405657
2040-06-01,9.69170972114402
2040-07-01,9.732147272704765
2040-08-01,9.774110001711051
2040-09-01,9.816253664130725
2040-10-01,9.857210861064784
2040-11-01,9.899712834835857
2040-12-01,9.941018255624705
2041-01-01,9.983881587160726
2041-02-01,10.026929735296326
2041-03-01,10.06597145019851
2041-04-01,10.109373550507284
2041-05-01,10.151553756679123
2041-06-01,10.195324867755405
2041-07-01,10.237863695978762
2041-08-01,10.282006955204047
2041-09-01,10.326340549775933
2041-10-01,10.369426025964348
2041-11-01,10.41413655099911
2041-12-01,10.457588345972182
2042-01-01,10.502679006185687
2042-02-01,10.547964086715925
2042-03-01,10.589034545724171
2042-04-01,10.634691971020915
2042-05-01,10.679064008286188
2042-06-01,10.725109619441017
2042-07-01,10.769858914014357
2042-08-01,10.81629601143809
2042-09-01,10.862933334698983
2042-10-01,10.908257682978267
2042-11-01,10.955291523327698
2042-12-01,11.001001225597367
2043-01-01,11.04843495427945
2043-02-01,11.096073206038167
2043-03-01,11.139277829794427
2043-04-01,11.187307774656478
2043-05-01,11.233985538227609
2043-06-01,11.282423840443126
2043-07-01,11.329498464932005
2043-08-01,11.378348596412696
2043-09-01,11.427409358165598
2043-10-01,11.475088918162989
2043-11-01,11.52456680141969
2043-12-01,11.57265173974909
2044-01-01,11.622550290935344
2044-02-01,11.672663992932877
2044-03-01,11.719740152112333
2044-04-01,11.770272913921897
2044-05-01,11.819383032934473
2044-06-01,11.870345431399567
2044-07-01,11.919873091558316
2044-08-01,11.971268779510268
2044-09-01,12.022886073574952
2044-10-01,12.073050192135835
2044-11-01,12.125106343701974
2044-12-01,12.175696964661585
2045-01-01,12.22819570495744
2045-02-01,12.28092080746818
2045-03-01,12.328738855620413
2045-04-01,12.381897476538395
2045-05-01,12.433559529162094
2045-06-01,12.487170112159442
2045-07-01,12.53927140282817
2045-08-01,12.593337790550114
2045-09-01,12.64763729981377
2045-10-01,12.700408121490057
2045-11-01,12.755169292826423
2045-12-01,12.808388779458324
2046-01-01,12.863615537983339
2046-02-01,12.919080421295925
2046-03-01,12.96938326253666
2046-04-01,13.025304191389727
2046-05-01,13.07965078502373
2046-06-01,13.136047161487138
2046-07-01,13.190855817511796
2046-08-01,13.247731683908071
2046-09-01,13.304852785657012
2046-10-01,13.360365763862944
2046-11-01,13.417972517261166
2046-12-01,13.473957474623603
