,value
2017-01-01,2.824668301858777
2017-02-01,2.836847606914711
2017-03-01,2.8478934004341596
2017-04-01,2.8601728466501437
2017-05-01,2.8721065910860437
2017-06-01,2.8844904388826067
2017-07-01,2.8965256456938793
2017-08-01,2.9090147827079584
2017-09-01,2.9215577699420727
2017-10-01,2.933747635957352
2017-11-01,2.9463972654348862
2017-12-01,2.958690771407266
2018-01-01,2.9714479498155892
2018-02-01,2.9842601341753667
2018-03-01,2.995879905773276
2018-04-01,3.0087974349781543
2018-05-01,3.021351298528909
2018-06-01,3.034378654385776
2018-07-01,3.0470392526519268
2018-08-01,3.060177368922439
2018-09-01,3.0733721336588316
2018-10-01,3.086195427762353
2018-11-01,3.0995023762462544
2018-12-01,3.1124346958016647
2019-01-01,3.125854781835092
2019-02-01,3.1393327321216686
2019-03-01,3.151556307707238
2019-04-01,3.1651450769256493
2019-05-01,3.1783512831501493
2019-06-01,3.1920555859976485
2019-07-01,3.2053740732468006
2019-08-01,3.21919489200657
2019-09-01,3.2330753028847075
2019-10-01,3.2465649402161834
2019-11-01,3.260563364301862
2019-12-01,3.2741676924291663
2020-01-01,3.2882851330872906
2020-02-01,3.3024634448276147
2020-03-01,3.315782366275809
2020-04-01,3.3300792396153738
2020-05-01,3.3439736147904298
2020-06-01,3.3583920421600175
2020-07-01,3.372404549269032
2020-08-01,3.3869455641381183
2020-09-01,3.401549276441732
2020-10-01,3.4157418521801937
2020-11-01,3.4304697273019022
2020-12-01,3.4447829703174975
2021-01-01,3.4596360639070616
2021-02-01,3.4745532005411603
2021-03-01,3.4880820193370554
2021-04-01,3.5031218082374616
2021-05-01,3.5177381837604633
2021-06-01,3.532905843063587
2021-07-01,3.5476464890691584
2021-08-01,3.562943105947166
2021-09-01,3.578305678237765
2021-10-01,3.5932357498687963
2021-11-01,3.6087289369119406
2021-12-01,3.6237859461140176
2022-01-01,3.639410858414724
2022-02-01,3.6551031416606348
2022-03-01,3.669334965216001
2022-04-01,3.6851562741691133
2022-05-01,3.700532167704286
2022-06-01,3.7164879916536355
2022-07-01,3.7319946132004524
2022-08-01,3.7480860958114754
2022-09-01,3.7642469611090945
2022-10-01,3.779952851499635
2022-11-01,3.7962511187493386
2022-12-01,3.812090542831248
2023-01-01,3.8285273802437785
2023-02-01,3.8450350894315446
2023-03-01,3.8600064483333676
2023-04-01,3.8766498878555185
2023-05-01,3.892824766616189
2023-06-01,3.9096097110044252
2023-07-01,3.925922110861616
2023-08-01,3.9428497632102317
2023-09-01,3.959850403612595
2023-10-01,3.9763724270198355
2023-11-01,3.993517609260458
2023-12-01,4.01018010523688
2024-01-01,4.027471058230821
2024-02-01,4.044836565745406
2024-03-01,4.061149497406867
2024-04-01,4.078660218426437
2024-05-01,4.0956779622122985
2024-06-01,4.113337561847351
2024-07-01,4.130499992886847
2024-08-01,4.1483097369243325
2024-09-01,4.166196272387365
2024-10-01,4.18357925035763
2024-11-01,4.201617859663456
2024-12-01,4.219148630159812
2025-01-01,4.237340606261654
2025-02-01,4.255611021883762
2025-03-01,4.27218103450349
2025-04-01,4.290601673854013
2025-05-01,4.308503719148927
2025-06-01,4.327080973368692
2025-07-01,4.345135224373174
2025-08-01,4.363870425023849
2025-09-01,4.382686407451223
2025-10-01,4.400972665776648
2025-11-01,4.419948624335765
2025-12-01,4.438390355004037
2026-01-01,4.457527649834491
2026-02-01,4.4767474601771315
2026-03-01,4.494178508627991
2026-04-01,4.51355634884958
2026-05-01,4.532388647053965
2026-06-01,4.551931240401367
2026-07-01,4.570923653456528
2026-08-01,4.590632400684016
2026-09-01,4.61042612739196
2026-10-01,4.629662603680213
2026-11-01,4.6496246194394315
2026-12-01,4.669024646957435
2027-01-01,4.689156382585136
2027-02-01,4.709374921519744
2027-03-01,4.727711748236126
2027-04-01,4.748096528835108
2027-05-01,4.767907419144924
2027-06-01,4.788465514018578
2027-07-01,4.808444839307029
2027-08-01,4.82917772199772
2027-09-01,4.85
2027-10-01,4.870236070901065
2027-11-01,4.8912353828425355
2027-12-01,4.9116435036674835
2028-01-01,4.932821354715622
2028-02-01,4.954090519674202
2028-03-01,4.974070496313195
2028-04-01,4.995517517864169
2028-05-01,5.016360743983553
2028-06-01,5.037990111131329
2028-07-01,5.059010549293745
2028-08-01,5.080823812366258
2028-09-01,5.102731129096347
2028-10-01,5.124021691759742
2028-11-01,5.146115267581051
2028-12-01,5.167586845605756
2029-01-01,5.189868264119303
2029-02-01,5.212245754866526
2029-03-01,5.232540602654806
2029-04-01,5.255102086484733
2029-05-01,5.277028399559875
2029-06-01,5.2997817043018065
2029-07-01,5.32189443797777
2029-08-01,5.3448411945201055
2029-09-01,5.367886892077142
2029-10-01,5.390283786868269
2029-11-01,5.413525422190591
2029-12-01,5.4361127385345425
2030-01-01,5.459551977512618
2030-02-01,5.48309228097377
2030-03-01,5.50444172006105
2030-04-01,5.528175577529241
2030-05-01,5.551241258547884
2030-06-01,5.575176904613814
2030-07-01,5.598438693299946
2030-08-01,5.622577843598681
2030-09-01,5.646821076233417
2030-10-01,5.6703817920404855
2030-11-01,5.694831144052342
2030-12-01,5.718592176382369
2031-01-01,5.74324940022731
2031-02-01,5.7680129402194735
2031-03-01,5.79047177085947
2031-04-01,5.815438922602089
2031-05-01,5.839703177109015
2031-06-01,5.86488260309093
2031-07-01,5.889353155705892
2031-08-01,5.914746660712576
2031-09-01,5.940249656537601
2031-10-01,5.965034669572594
2031-11-01,5.990754495458748
2031-12-01,6.015750234164106
2032-01-01,6.041688733631096
2032-02-01,6.067739073804302
2032-03-01,6.092210424189334
2032-04-01,6.118478602004164
2032-05-01,6.144007254951958
2032-06-01,6.170498768512929
2032-07-01,6.1962444696623225
2032-08-01,6.222961217801388
2032-09-01,6.249793162271814
2032-10-01,6.275869710220004
2032-11-01,6.302929783660049
2032-12-01,6.329228038090272
2033-01-01,6.356518180084553
2033-02-01,6.383925990749578
2033-03-01,6.408782993348302
2033-04-01,6.436416157589889
2033-05-01,6.4632713686648895
2033-06-01,6.491139473959396
2033-07-01,6.518223011819961
2033-08-01,6.546328055669296
2033-09-01,6.574554281854419
2033-10-01,6.601985858471019
2033-11-01,6.630452068005202
2033-12-01,6.6581168717483505
2034-01-01,6.686825105003818
2034-02-01,6.715657121405858
2034-03-01,6.7418057808296705
2034-04-01,6.770874860968584
2034-05-01,6.799125562772459
2034-06-01,6.828441792323417
2034-07-01,6.856932685571509
2034-08-01,6.886498165833608
2034-09-01,6.916191125489659
2034-10-01,6.945048142805272
2034-11-01,6.974993556184858
2034-12-01,7.0040959199245325
2035-01-01,7.034295933424754
2035-02-01,7.064626162276942
2035-03-01,7.092133597533741
2035-04-01,7.122713208784011
2035-05-01,7.152431915897598
2035-06-01,7.183271519308092
2035-07-01,7.213242899053725
2035-08-01,7.244344705114391
2035-09-01,7.275580614844346
2035-10-01,7.305937143745049
2035-11-01,7.337438625577303
2035-12-01,7.368053249960684
2036-01-01,7.3998225618266416
2036-02-01,7.431728855489852
2036-03-01,7.461701212339275
2036-04-01,7.493874312183073
2036-05-01,7.525141646596475
2036-06-01,7.55758828666487
2036-07-01,7.589121460357654
2036-08-01,7.621843966328145
2036-09-01,7.654707564044575
2036-10-01,7.686645956826622
2036-11-01,7.719788965477778
2036-12-01,7.751998902971936
2037-01-01,7.785423698148923
2037-02-01,7.818992613177658
2037-03-01,7.8494373144456215
2037-04-01,7.883282241125032
2037-05-01,7.91617433563318
2037-06-01,7.950307016644322
2037-07-01,7.98347876437093
2037-08-01,8.017901646241647
2037-09-01,8.052472951479077
2037-10-01,8.08607097489661
2037-11-01,8.120936210238543
2037-12-01,8.154819888781514
2038-01-01,8.189981553263078
2038-02-01,8.225294826568133
2038-03-01,8.257321541034361
2038-04-01,8.292925168521176
2038-05-01,8.327526451343324
2038-06-01,8.363432785883749
2038-07-01,8.398328253684044
2038-08-01,8.434539868936064
2038-09-01,8.470907620152238
2038-10-01,8.506251514419818
2038-11-01,8.54292846937713
2038-12-01,8.57857286240992
2039-01-01,8.615561650002112
2039-02-01,8.65270992454271
2039-03-01,8.686400859148161
2039-04-01,8.723854575689701
2039-05-01,8.760253862230782
2039-06-01,8.798026015543552
2039-07-01,8.834734773943541
2039-08-01,8.872828071421804
2039-09-01,8.911085618235209
2039-10-01,8.948266104910685
2039-11-01,8.986848922773465
2039-12-01,9.024345523181383
2040-01-01,9.063256377593794
2040-02-01,9.102335006454467
2040-03-01,9.13904496160507
2040-04-01,9.178450373006484
2040-05-01,9.216746408575569
2040-06-01,9.256486850332697
2040-07-01,9.295108484187978
2040-08-01,9.335186804776072
2040-09-01,9.37543793365187
2040-10-01,9.41455587731247
2040-11-01,9.455149226953017
2040-12-01,9.494599756878126
2041-01-01,9.535538236892547
2041-02-01,9.576653233999716
2041-03-01,9.613941713638976
2041-04-01,9.65539476808906
2041-05-01,9.695680799657065
2041-06-01,9.737486293812355
2041-07-01,9.778114842892712
2041-08-01,9.820275773245198
2041-09-01,9.862618491608643
2041-10-01,9.9037691404883
2041-11-01,9.946471862604795
2041-12-01,9.987972380094925
2042-01-01,10.031038166767068
2042-02-01,10.074289642977703
2042-03-01,10.113515762484516
2042-04-01,10.157122862680401
2042-05-01,10.199502297402057
2042-06-01,10.24348015130335
2042-07-01,10.286219901945707
2042-08-01,10.33057166175261
2042-09-01,10.375114655911561
2042-10-01,10.418403636485522
2042-11-01,10.463325341452123
2042-12-01,10.506982371033676
2043-01-01,10.55228600666053
2043-02-01,10.597784980903986
2043-03-01,10.639049426825318
2043-04-01,10.684922504520562
2043-05-01,10.729504122948162
2043-06-01,10.77576722000855
2043-07-01,10.820727877632768
2043-08-01,10.867384310057847
2043-09-01,10.914241914041
2043-10-01,10.959780341505724
2043-11-01,11.00703633543513
2043-12-01,11.052961937021617
2044-01-01,11.100619708064691
2044-02-01,11.148482968202337
2044-03-01,11.193445091599218
2044-04-01,11.241708592948287
2044-05-01,11.288613337718594
2044-06-01,11.337287182151265
2044-07-01,11.384590717665438
2044-08-01,11.433678393976372
2044-09-01,11.482977724796932
2044-10-01,11.530889137455556
2044-11-01,11.580607618127717
2044-12-01,11.628926380362323
2045-01-01,11.679067574557138
2045-02-01,11.729424965782789
2045-03-01,11.775095662353907
2045-04-01,11.825867104098142
2045-05-01,11.87520918351775
2045-06-01,11.926412291207924
