,value
2017-01-01,2.580702366436514
2017-02-01,2.5918297477855803
2017-03-01,2.6019215187223845
2017-04-01,2.6131403920631113
2017-05-01,2.6240434218050135
2017-06-01,2.6353576795864138
2017-07-01,2.646353408422244
2017-08-01,2.6577638616162615
2017-09-01,2.6692235139995026
2017-10-01,2.6803605441603446
2017-11-01,2.6919176281215784
2017-12-01,2.703149346880856
2018-01-01,2.7148046907970764
2018-02-01,2.72651028981369
2018-03-01,2.7371264644776123
2018-04-01,2.748928309729887
2018-05-01,2.7603978990448637
2018-06-01,2.7723000852470823
2018-07-01,2.783867190625245
2018-08-01,2.79587057089029
2018-09-01,2.8079257069065697
2018-10-01,2.8196414561209786
2018-11-01,2.8317990866009386
2018-12-01,2.843614444764656
2019-01-01,2.855875441130656
2019-02-01,2.8681893040279007
2019-03-01,2.8793571322713927
2019-04-01,2.8917722426954504
2019-05-01,2.9038378320012064
2019-06-01,2.9163584974420416
2019-07-01,2.9285266700868164
2019-08-01,2.9411537879880427
2019-09-01,2.9538353510504205
2019-10-01,2.966159891585251
2019-11-01,2.9789492750822513
2019-12-01,2.991378600595909
2020-01-01,3.0042767212320474
2020-02-01,3.0172304555293628
2020-03-01,3.029399024871511
2020-04-01,3.0424610806306873
2020-05-01,3.0551554018969496
2020-06-01,3.068328513093228
2020-07-01,3.081130763266158
2020-08-01,3.0944158741084995
2020-09-01,3.1077582672227253
2020-10-01,3.120725033540022
2020-11-01,3.1341808655590104
2020-12-01,3.147257877149158
2021-01-01,3.160828112546449
2021-02-01,3.1744568596056144
2021-03-01,3.1868171975110187
2021-04-01,3.200558003389161
2021-05-01,3.213911966003501
2021-06-01,3.227769598147819
2021-07-01,3.241237098032442
2021-08-01,3.2552125497162985
2021-09-01,3.2692482602593063
2021-10-01,3.282888825122768
2021-11-01,3.2970438692529322
2021-12-01,3.3108004081193494
2022-01-01,3.325075800427629
2022-02-01,3.339412744868455
2022-03-01,3.3524153691779617
2022-04-01,3.366870195406072
2022-05-01,3.3809180766409006
2022-06-01,3.3954957998367297
2022-07-01,3.40966311813565
2022-08-01,3.424364783186521
2022-09-01,3.439129838357701
2022-10-01,3.453479214697283
2022-11-01,3.4683698044463336
2022-12-01,3.4828411812038365
2023-01-01,3.497858372843413
2023-02-01,3.5129403150797027
2023-03-01,3.52661860124211
2023-04-01,3.5418245508157975
2023-05-01,3.556602409110528
2023-06-01,3.5719376418083715
2023-07-01,3.586841143534931
2023-08-01,3.602306758540254
2023-09-01,3.617839057638327
2023-10-01,3.6329340777783288
2023-11-01,3.6485984346701605
2023-12-01,3.6638217947966556
2024-01-01,3.6796193322562023
2024-02-01,3.6954849849800175
2024-03-01,3.7103889725790373
2024-04-01,3.7263872967516414
2024-05-01,3.741935222018011
2024-06-01,3.75806956619517
2024-07-01,3.7737496821111822
2024-08-01,3.7900212027541267
2024-09-01,3.8063628823652955
2024-10-01,3.8222444966256517
2024-11-01,3.838725115497657
2024-12-01,3.8547417574784624
2025-01-01,3.8713624968924614
2025-02-01,3.888054901023852
2025-03-01,3.9031937655593705
2025-04-01,3.9200234186311618
2025-05-01,3.936379268493688
2025-06-01,3.9533520096453802
2025-07-01,3.9698469192462156
2025-08-01,3.9869639650328104
2025-09-01,4.0041548154930915
2025-10-01,4.020861693997248
2025-11-01,4.038198703488482
2025-12-01,4.055047626225879
2026-01-01,4.072532037412723
2026-02-01,4.090091837266418
