,value
2017-01-01,2.332043130527529
2017-02-01,2.3420983517623903
2017-03-01,2.35121774708442
2017-04-01,2.3613556447539708
2017-05-01,2.3712081314034283
2017-06-01,2.381432222906303
2017-07-01,2.391368476784409
2017-08-01,2.4016794949527136
2017-09-01,2.4120349718051153
2017-10-01,2.4220989121567227
2017-11-01,2.432542432731294
2017-12-01,2.442691938120696
2018-01-01,2.4532242509775597
2018-02-01,2.4638019766891452
2018-03-01,2.473395247699186
2018-04-01,2.4840599460022763
2018-05-01,2.4944244023300692
2018-06-01,2.5051797733996395
2018-07-01,2.5156323497943673
2018-08-01,2.526479164543044
2018-09-01,2.5373727482045956
2018-10-01,2.5479596461087395
2018-11-01,2.5589458485523133
2018-12-01,2.569622757752992
2019-01-01,2.580702366436514
2019-02-01,2.59182974778558
2019-03-01,2.6019215187223845
2019-04-01,2.6131403920631113
2019-05-01,2.6240434218050135
2019-06-01,2.6353576795864138
2019-07-01,2.646353408422244
2019-08-01,2.6577638616162615
2019-09-01,2.6692235139995026
2019-10-01,2.6803605441603446
2019-11-01,2.6919176281215784
2019-12-01,2.7031493468808554
2020-01-01,2.714804690797076
2020-02-01,2.72651028981369
2020-03-01,2.737506377123785
2020-04-01,2.749309860469994
2020-05-01,2.760781041761843
2020-06-01,2.7726848799853014
2020-07-01,2.7842535908755472
2020-08-01,2.7962586372075493
2020-09-01,2.8083154464744746
2020-10-01,2.820032821832704
2020-11-01,2.8321921397895227
2020-12-01,2.844009137922763
2021-01-01,2.856271836112789
2021-02-01,2.868587408171922
2021-03-01,2.8797567865079046
2021-04-01,2.8921736201469894
2021-05-01,2.904240884154305
2021-06-01,2.916763287461184
2021-07-01,2.9289331490460677
2021-08-01,2.941562019588919
2021-09-01,2.9542453428499007
2021-10-01,2.9665715940286743
2021-11-01,2.9793627526897346
2021-12-01,2.9917938033914706
2022-01-01,3.0046937142843637
2022-02-01,3.0176492465575997
2022-03-01,3.029399024871511
2022-04-01,3.0424610806306873
2022-05-01,3.0551554018969496
2022-06-01,3.0683285130932276
2022-07-01,3.081130763266158
2022-08-01,3.094415874108499
2022-09-01,3.107758267222725
2022-10-01,3.120725033540022
2022-11-01,3.1341808655590104
2022-12-01,3.1472578771491575
2023-01-01,3.1608281125464486
2023-02-01,3.1744568596056144
2023-03-01,3.1868171975110187
2023-04-01,3.2005580033891605
2023-05-01,3.213911966003501
2023-06-01,3.227769598147819
2023-07-01,3.241237098032441
2023-08-01,3.2552125497162985
2023-09-01,3.2692482602593063
2023-10-01,3.282888825122768
2023-11-01,3.297043869252932
2023-12-01,3.3108004081193494
2024-01-01,3.325075800427629
2024-02-01,3.3394127448684547
2024-03-01,3.3528806838101146
2024-04-01,3.3673375163654273
2024-05-01,3.381387347443569
2024-06-01,3.395967094024677
2024-07-01,3.4101363787447525
2024-08-01,3.4248400843840097
2024-09-01,3.4396071889421105
2024-10-01,3.453958556972471
2024-11-01,3.4688512135326195
2024-12-01,3.483324598914535
2025-01-01,3.498343874937529
2025-02-01,3.5134279105446073
2025-03-01,3.5271080952505995
2025-04-01,3.5423161554072715
2025-05-01,3.5570960648659944
2025-06-01,3.5724334260912953
2025-07-01,3.587338996421134
2025-08-01,3.602806758050954
2025-09-01,3.6183412130292645
2025-10-01,3.633438328355265
