,5x16,2x16,7x8
2024-02-01,22.840000000000003,,28.080512425351564
2024-02-02,13.440000000000003,,28.080512425351564
2024-02-03,,18.057821229050283,28.080512425351564
2024-02-04,,9.627821229050284,28.080512425351564
2024-02-05,24.250000000000004,,28.080512425351564
2024-02-06,23.78,,28.080512425351564
2024-02-07,21.080000000000002,,28.080512425351564
2024-02-08,22.230000000000004,,28.080512425351564
2024-02-09,22.990000000000002,,28.080512425351564
2024-02-10,,23.277821229050282,28.080512425351564
2024-02-11,,20.577821229050283,28.080512425351564
2024-02-12,22.230000000000004,,28.080512425351564
2024-02-13,22.990000000000002,,28.080512425351564
2024-02-14,13.120000000000003,,28.080512425351564
2024-02-15,17.160000000000004,,28.080512425351564
2024-02-16,16.620000000000005,,28.080512425351564
2024-02-17,,14.707821229050284,28.080512425351564
2024-02-18,,19.997821229050285,28.080512425351564
2024-02-19,33.92,,28.080512425351564
2024-02-20,12.270000000000003,,28.080512425351564
2024-02-21,16.1,,28.080512425351564
2024-02-22,19.450000000000003,,28.080512425351564
2024-02-23,24.450000000000003,,28.080512425351564
2024-02-24,,20.447821229050284,28.080512425351564
2024-02-25,,20.447821229050284,28.080512425351564
2024-02-26,23.450000000000003,,28.080512425351564
2024-02-27,23.450000000000003,,28.080512425351564
2024-02-28,23.450000000000003,,28.080512425351564
2024-02-29,23.450000000000003,,28.080512425351564
2024-03-01,32.05,26.206949458483756,17.567603589646144
2024-04-01,37.05,31.401393442622954,18.229923497267755
2024-05-01,41.300000000000004,34.71510489510489,17.80671328671329
2024-06-01,62.195,51.62451931330473,20.250320457796857
2024-07-01,99.4,82.62943589743591,22.55097270471465
2024-08-01,151.65,118.17997669773638,23.503561917443403
2024-09-01,72.5,61.757299270073,21.978467153284686
2024-10-01,43.800000000000004,36.856803170409506,21.943262879788644
2024-11-01,40.2,34.60111420612814,23.486189738670117
2024-12-01,44.9,38.86787383177571,29.31395236659633
2025-01-01,69.45,61.541103202846976,50.88226265641143
2025-02-01,68.7,60.26661880832736,49.960503538098656
2025-03-01,43.19,36.892619354838715,27.094497583910144
2025-04-01,40.089999999999996,34.50561583577712,25.04100488758554
2025-05-01,43.940000000000005,37.363174193548396,24.974403746097806
2025-06-01,61.63499999999999,51.58408110440033,29.25355133735979
2025-07-01,87.74000000000001,73.82191748983149,31.67146726396881
2025-08-01,117.84000000000002,96.42368600682595,32.736331608499384
2025-09-01,64.49,54.94378289473684,31.189730263157912
2025-10-01,43.84000000000001,38.468300395256925,28.80990947341577
2025-11-01,39.84,35.116987447698754,30.35730377263493
2025-12-01,44.09000000000001,38.942700471698124,35.23036746804624
2026-01-01,78.25,64.31032849020846,58.24043323212356
2026-02-01,76.85000000000001,63.372759509993564,57.49270885143224
2026-03-01,42.190000000000005,36.082064343163545,32.16260216430952
2026-04-01,37.63999999999999,33.254757281553395,28.294796116504855
2026-05-01,37.74000000000001,32.896995305164324,27.85890655762531
2026-06-01,47.485,40.2769640787949,31.90695249130939
2026-07-01,79.59,63.814617346938775,34.78858459512838
2026-08-01,103.89000000000001,80.86654867256638,34.660291178989425
2026-09-01,50.38999999999999,42.624847826086956,33.29109130434783
2026-10-01,43.34,38.20401639344263,31.570248545742977
2026-11-01,41.44,35.7381206171108,32.712451042582025
2026-12-01,44.39,38.550393325387375,38.43719097235571
2027-01-01,82.8,67.60267314702308,62.1055222827578
2027-02-01,81.8,67.07734806629834,61.49008681925809
2027-03-01,43.5,36.61639784946237,34.456077227808976
2027-04-01,39.150000000000006,32.55434083601287,29.52501822079314
2027-05-01,39.190000000000005,32.544113029827315,28.833532688509635
2027-06-01,46.735,39.154926199261986,32.64537269372694
2027-07-01,75.19999999999999,61.12573119777159,35.287915356276386
2027-08-01,97.55,76.7478443743428,35.62544520199451
2027-09-01,49.34,41.66465816917728,33.917205098493646
2027-10-01,43.790000000000006,37.10344827586207,33.347775305895425
2027-11-01,39.99000000000001,34.555021459227476,34.759862696561164
2027-12-01,42.39000000000001,36.74145476772617,40.17795882956068
2028-01-01,82.2,65.96847826086957,62.98194950911641
2028-02-01,80.7,65.21312078479461,61.494485084251245
2028-03-01,41.650000000000006,35.63388888888889,36.028389563652716
2028-04-01,37.800000000000004,31.551554828150575,31.28229678123295
2028-05-01,37.84,31.61529001584787,30.22854128112059
2028-06-01,45.135000000000005,38.67573072060682,33.25561028234302
2028-07-01,71.70000000000002,58.366497829233005,35.664743476028185
2028-08-01,91.85000000000001,72.41138504155124,35.69734965597355
2028-09-01,47.74,40.8391943127962,34.62387045813586
2028-10-01,41.89000000000001,35.93938115330521,34.77874642711309
2028-11-01,39.09000000000001,33.95475994108985,35.61317248333219
2028-12-01,41.34,36.117554430379755,40.99528395263372
2029-01-01,79.0,64.07997496871089,63.317111308490446
2029-02-01,76.80000000000001,62.782519280205655,61.47284612559676
2029-03-01,42.300000000000004,35.770081967213116,36.25278622154377
2029-04-01,38.25,31.58428338762215,30.941429967426707
2029-05-01,37.09,30.84907107438017,30.192797440682476
2029-06-01,44.535000000000004,38.61668832891246,32.837987002652525
2029-07-01,70.25000000000001,58.0600224382947,34.99321133013245
2029-08-01,91.25000000000001,71.39515219842163,35.3218569298469
2029-09-01,46.69,40.55426783479349,34.32087025448478
2029-10-01,41.790000000000006,35.675838068181825,34.44472873900292
2029-11-01,39.790000000000006,33.89646666666667,35.458376763485454
2029-12-01,41.34,35.85967816091954,40.97345420837967
2030-01-01,77.35000000000001,62.77307248236049,62.53886113927455
2030-02-01,75.9,62.11802743305029,60.98112718111411
