,5x16,2x16,7x8
2024-02-01,22.840000000000003,,28.080512425351564
2024-02-02,13.440000000000003,,28.080512425351564
2024-02-03,,18.057821229050283,28.080512425351564
2024-02-04,,9.627821229050284,28.080512425351564
2024-02-05,24.250000000000004,,28.080512425351564
2024-02-06,23.78,,28.080512425351564
2024-02-07,21.080000000000002,,28.080512425351564
2024-02-08,22.230000000000004,,28.080512425351564
2024-02-09,22.990000000000002,,28.080512425351564
2024-02-10,,23.277821229050282,28.080512425351564
2024-02-11,,20.577821229050283,28.080512425351564
2024-02-12,22.230000000000004,,28.080512425351564
2024-02-13,22.990000000000002,,28.080512425351564
2024-02-14,13.120000000000003,,28.080512425351564
2024-02-15,17.160000000000004,,28.080512425351564
2024-02-16,16.620000000000005,,28.080512425351564
2024-02-17,,14.707821229050284,28.080512425351564
2024-02-18,,19.997821229050285,28.080512425351564
2024-02-19,33.92,,28.080512425351564
2024-02-20,12.270000000000003,,28.080512425351564
2024-02-21,16.1,,28.080512425351564
2024-02-22,19.450000000000003,,28.080512425351564
2024-02-23,24.450000000000003,,28.080512425351564
2024-02-24,,20.447821229050284,28.080512425351564
2024-02-25,,20.447821229050284,28.080512425351564
2024-02-26,23.450000000000003,,28.080512425351564
2024-02-27,23.450000000000003,,28.080512425351564
2024-02-28,23.450000000000003,,28.080512425351564
2024-02-29,23.450000000000003,,28.080512425351564
2024-03-01,33.24999999999999,27.188176895306864,27.869237638667617
2024-04-01,32.55,27.587459016393442,25.4340218579235
2024-05-01,36.75,30.89055944055944,24.532255808707426
2024-06-01,59.195,49.134390557939916,28.3270729613734
2024-07-01,99.0,82.2969230769231,29.382754342431767
2024-08-01,151.45000000000002,118.0241178428762,31.102125123491255
2024-09-01,69.35,59.07405109489051,28.68396593673967
2024-10-01,37.900000000000006,31.892073976221933,28.06860698001449
2024-11-01,36.6,31.502506963788306,30.119082513667518
2024-12-01,43.55,37.69924065420562,37.63565119083509
2025-01-01,72.10000000000001,63.889323843416385,58.291360348984036
2025-02-01,71.4,62.63517587939699,56.542756640344585
2025-03-01,40.44,34.543587096774196,33.14751443123938
2025-04-01,34.68999999999999,29.857815249266856,29.206498533724346
2025-05-01,38.89000000000001,33.06904516129033,29.38997086368365
2025-06-01,57.934999999999995,48.48744607420189,34.391532355478866
2025-07-01,87.04,73.2329575828007,36.75537946805121
2025-08-01,118.04000000000002,96.58733788395905,38.22429813938126
2025-09-01,61.04,52.004473684210524,36.31331578947369
2025-10-01,36.99,32.45762845849802,32.821869182710685
2025-11-01,36.09,31.811548117154818,35.453184777513485
2025-12-01,42.34000000000001,37.397004716981144,41.02786822884965
2026-01-01,79.95,65.70748578648136,62.685815621624926
2026-02-01,78.45000000000002,64.69216634429401,62.31733351754627
2026-03-01,38.14000000000001,32.618391420911536,36.239804191857246
2026-04-01,31.039999999999996,27.423689320388345,31.558032362459546
2026-05-01,31.840000000000007,27.754115805946796,30.739337169973233
2026-06-01,42.985,36.460046349942054,35.09264194669757
2026-07-01,77.94,62.53094387755102,38.938222514812374
2026-08-01,102.74000000000002,80.00991150442479,38.33876677133885
2026-09-01,45.739999999999995,38.72984782608695,36.90809130434783
2026-10-01,35.14000000000001,31.011530054644815,34.323950290851386
2026-11-01,34.89,30.681669004207578,36.48540647023562
2026-12-01,41.790000000000006,36.95849821215734,41.81151716713444
2027-01-01,82.7,68.17976913730256,66.0556477090111
2027-02-01,81.6,67.5742173112339,65.52759010786635
2027-03-01,37.35000000000001,32.028629032258074,37.668564712028214
2027-04-01,30.350000000000005,25.763344051446953,31.920216505894963
2027-05-01,31.040000000000003,26.313343799058085,31.460207626474894
2027-06-01,39.935,34.040535055350546,35.52638130381303
2027-07-01,71.7,58.86789693593316,38.7187761703657
2027-08-01,95.25,75.51892744479497,37.998687290119065
2027-09-01,42.44,36.391193511008105,36.84128389339514
2027-10-01,34.34,29.60344827586207,34.48487208008898
2027-11-01,33.59000000000001,29.02483547925609,37.10569996260216
2027-12-01,40.140000000000015,34.79127139364304,42.54902121618424
2028-01-01,82.15,65.92835144927537,66.38041841982235
2028-02-01,81.20000000000002,65.61716738197427,65.15087316856591
2028-03-01,35.85,30.67166666666667,38.29626180836707
2028-04-01,29.400000000000006,24.540098199672673,32.70660120021822
2028-05-01,30.590000000000003,25.55792076069731,31.611852461530585
2028-06-01,38.535000000000004,33.02025663716814,35.35186312684365
2028-07-01,69.35000000000001,56.45350940665702,38.646541711404694
2028-08-01,91.05,71.78069252077562,38.22125547314807
2028-09-01,41.44,35.449857819905205,37.46676145339654
2028-10-01,33.49000000000001,28.732630098452887,34.45847284605961
2028-11-01,32.59000000000001,28.308662739322543,36.83013512671183
2028-12-01,38.64,33.75864303797469,42.84031784401796
2029-01-01,79.3,64.32331664580725,66.10000968953125
2029-02-01,77.80000000000001,63.60000000000001,64.30571428571429
2029-03-01,35.85,30.315778688524592,38.32452578482776
2029-04-01,28.6,23.61596091205212,32.762423452768736
2029-05-01,29.090000000000003,24.19518677685951,31.60634316182351
2029-06-01,36.685,31.80988461538461,35.162069230769234
2029-07-01,66.65,55.08470456245326,37.653093830675324
2029-08-01,89.25000000000001,69.83032694475759,37.26660544786705
2029-09-01,39.04,33.90958698372966,36.94030287859825
2029-10-01,32.69000000000001,27.907230113636373,34.436590909090896
2029-11-01,32.440000000000005,27.635118840579715,36.88320699981958
2029-12-01,37.84,32.82366283524905,42.871594116920015
2030-01-01,77.80000000000001,63.138268120590126,65.09294109127025
2030-02-01,76.7,62.77276290006531,63.67127834281981
