,5x16,2x16,7x8
2033-03-01,34.650000000000006,28.443300423131173,32.78039492242595
2033-04-01,28.1,23.53010380622838,27.463937716262976
2033-05-01,27.890000000000004,23.306678321678326,26.8366591473043
2033-06-01,34.235,28.89336879432624,29.734869976359338
2033-07-01,60.6,50.58184764991896,32.442559732315566
2033-08-01,81.65000000000002,62.20952380952381,32.18056835637481
2033-09-01,36.089999999999996,29.889302013422817,31.06241879194632
2033-10-01,31.34,25.611182795698927,29.026656260839392
2033-11-01,30.540000000000006,24.40277511961723,29.91722150529094
2033-12-01,34.09,28.781700000000004,34.60019354838708
2034-01-01,70.35,56.46707487753674,36.82801620804081
2034-02-01,70.0,56.865776528461005,54.66098484087942
2034-03-01,34.800000000000004,27.22415730337079,50.064404312423235
2034-04-01,28.550000000000004,22.76218057921636,28.994691652470188
2034-05-01,28.290000000000003,22.534448275862072,26.918743047830915
2034-06-01,34.485,27.345147887323947,27.207254460093896
2034-07-01,60.650000000000006,49.49315235008104,30.349053170910228
2034-08-01,81.85000000000001,60.47641395908544,32.496044408213976
2034-09-01,36.29,28.3924432576769,32.28053404539387
2034-10-01,31.740000000000006,25.045220030349014,31.65469675461353
2034-11-01,30.940000000000005,23.92368503937008,30.604727611330727
2034-12-01,34.190000000000005,28.540370370370372,33.54459976105136
2035-01-01,70.25,56.958128941836016,56.983787779460634
2035-02-01,70.60000000000001,57.16878048780488,55.70926829268292
2035-03-01,35.800000000000004,27.290163934426232,32.7561093781111
2035-04-01,29.450000000000003,22.732479338842978,26.882512396694214
2035-05-01,29.090000000000003,22.549630872483224,26.608947824204364
2035-06-01,34.835,27.59592747559275,29.706838679683866
2035-07-01,60.300000000000004,49.57781402936379,32.42445455980634
2035-08-01,82.30000000000001,60.81329341317365,32.127009851265214
2035-09-01,36.63999999999999,28.59470899470899,31.179174603174612
2035-10-01,32.39000000000001,25.16008928571429,29.095103686635934
2035-11-01,30.540000000000006,24.06181818181819,29.91181818181817
2035-12-01,34.49,28.6442372881356,35.14210497539638
2036-01-01,69.45,32.190148830616586,50.07959100157747
2036-02-01,73.25,56.512768817204304,55.42571375602521
2036-03-01,34.400000000000006,59.07613636363637,56.99217008797654
2036-04-01,28.700000000000003,30.30525423728814,36.774531073446326
2036-05-01,29.040000000000003,22.841546218487398,27.914163730008124
2036-06-01,34.535,22.343319268635724,26.808008438818565
2036-07-01,58.5,27.79857022708158,29.430185029436494
2036-08-01,78.65,48.146021303258145,31.578373352736687
2036-09-01,36.339999999999996,57.27184,32.83289600000001
2036-10-01,31.740000000000006,28.27220030349014,30.977251456263144
2036-11-01,30.540000000000006,24.256650717703355,27.87512280701753
2036-12-01,34.690000000000005,21.72997191011236,27.04904856832184
2037-01-01,74.3,30.301392572944295,31.547811243261737
2037-02-01,70.2,56.22887175893484,55.203501852037235
2037-03-01,33.800000000000004,58.80809248554914,56.68143016968115
2037-04-01,28.000000000000004,30.04166666666667,36.531777777777776
2037-05-01,27.94,22.576300174520075,27.699399876147037
2037-06-01,33.485,22.0806884057971,26.534966183574877
2037-07-01,57.7,27.56996587030717,29.153566002422103
2037-08-01,77.5,47.91984732824427,31.313001723713377
2037-09-01,35.13999999999999,56.96939393939393,32.61436363636365
2037-10-01,31.09,28.009876160990714,30.78781384200538
2037-11-01,29.940000000000005,24.000682926829274,27.599544715447138
2037-12-01,30.64,21.414009508716326,26.83734931751954
2038-01-01,35.1,29.5732044198895,31.640951702013894
2038-02-01,74.80000000000001,56.03844634628045,54.91945923069688
2038-03-01,64.9,59.220015220700155,56.01741149899347
2038-04-01,29.200000000000003,29.83266666666667,36.25991111111111
2038-05-01,23.740000000000002,22.23501022494888,27.514186291971757
2038-06-01,23.134999999999998,21.554347826086957,26.432347826086954
2038-07-01,29.3,26.96766169154229,29.159250521585616
2038-08-01,51.65,47.38666982922201,31.20612719593561
2038-09-01,72.74,57.68016238159675,31.78790257104196
2038-10-01,31.390000000000004,27.779187116564422,30.579556698990686
2038-11-01,27.190000000000005,23.694142857142865,27.353514285714272
2038-12-01,24.590000000000003,21.022039215686277,26.633141049968362
2039-01-01,27.949999999999996,29.104561101549052,31.497379934484478
2039-02-01,62.05,55.61918512658228,54.76617992766727
2039-03-01,63.00000000000001,58.95141065830722,55.77701385377692
2039-04-01,28.950000000000003,29.582521008403365,36.05248739495798
2039-05-01,23.490000000000002,21.985475206611575,27.232596640895753
2039-06-01,22.884999999999998,21.305073221757322,26.181960948396092
2039-07-01,29.099999999999998,26.764214046822744,28.913138418383852
2039-08-01,51.45,47.18293612964728,30.892678126633665
2039-09-01,72.49,57.43097759674134,31.537413441955206
2039-10-01,31.140000000000004,27.5302627511592,30.328862741187603
2039-11-01,26.940000000000005,23.44508108108109,27.102951351351336
2039-12-01,24.340000000000003,20.77334653465347,26.455582880868718
2040-01-01,27.699999999999996,28.854166666666664,31.247634408602146
2040-02-01,61.8,55.36965845909452,54.50467119498233
2040-03-01,62.75000000000001,58.701612903225815,55.55777315296566
2040-04-01,28.700000000000003,29.332372881355937,35.80257627118644
2040-05-01,23.240000000000002,21.73594989561587,26.951061350932715
2040-06-01,22.634999999999998,21.05581395348837,25.980511627906974
2040-07-01,28.9,26.56070826306914,28.599220475439257
2040-08-01,51.25,46.979166666666664,30.61881720430108
2040-09-01,72.24,57.18179836512262,31.370681198910095
2040-10-01,30.890000000000004,27.28135514018692,29.972526379258355
2040-11-01,26.690000000000005,23.19603636363637,26.852378181818167
2040-12-01,24.090000000000003,20.524680000000004,26.24119483870966
2041-01-01,27.449999999999996,28.60376532399299,30.997893339359354
2041-02-01,61.55,55.1201355661882,54.25440796348237
2041-03-01,62.50000000000001,58.45181674565561,55.30765479284513
2041-04-01,28.450000000000003,29.082222222222228,35.55266666666667
2041-05-01,22.990000000000002,21.486434599156123,26.70077991016741
2041-06-01,22.384999999999998,20.80657051282051,25.73005769230769
2041-07-01,28.7,26.357142857142858,28.319262672811053
2041-08-01,51.05,46.77536092396535,30.34497500698563
2041-09-01,71.99,56.93262474367737,31.120075187969938
2041-10-01,30.640000000000004,27.032464678178968,29.721953714488265
2041-11-01,26.440000000000005,22.947009174311933,26.60179449541283
2041-12-01,23.840000000000003,20.27604040404041,25.990229390680987
2042-01-01,27.199999999999996,28.35335689045936,30.74815684486492
2042-02-01,61.3,54.87061649319456,54.00414262444438
2042-03-01,62.25000000000001,58.20202220459953,55.057535494103504
2042-04-01,28.200000000000003,28.832068965517248,35.30275862068965
2042-05-01,22.740000000000002,21.236929637526657,26.450492468532904
2042-06-01,22.134999999999998,20.557343412526997,25.4795939524838
2042-07-01,28.5,26.153516295025728,28.039344325789845
2042-08-01,50.85,46.57151837524178,30.071151806326828
2042-09-01,71.74,56.68345679012346,30.869465020576143
2042-10-01,30.390000000000004,26.7835917721519,29.47137198856675
2042-11-01,26.190000000000005,22.698000000000008,26.351199999999984
2042-12-01,23.590000000000003,20.027428571428576,25.739244239631322
2043-01-01,26.949999999999996,28.102941176470587,30.498425047438324
2043-02-01,61.05,54.62110128617364,53.753875152455926
2043-03-01,61.76500000000001,57.48707948243993,54.94091646294198
2043-04-01,27.534999999999997,28.231151940545004,34.781088584526884
2043-05-01,22.105,20.60611793611794,26.20031861773797
2043-06-01,21.945,20.277636363636365,25.215418181818176
2043-07-01,27.875,25.449025341130607,27.99669496321448
2043-08-01,50.445,46.0814450867052,30.145132947976876
2043-09-01,72.075,56.80856374807988,30.371571775432336
2043-10-01,30.525,26.80292772186642,28.85494053064959
